pkoakwood,oakwood_date
777,1872-02-27
778,1872-02-28
779,1872-02-28
780,1872-02-28
781,1872-03-03
782,1872-03-05
783,1872-03-05
784,1872-03-13
785,1872-03-14
786,1872-03-18
787,1872-03-20
788,1872-03-22
789,1872-03-23
790,1872-04-01
791,1872-04-05
792,1872-04-07
793,1872-04-10
794,1872-04-11
795,1872-04-12
796,1872-04-14
797,1872-04-17
798,1872-04-18
799,1872-04-20
800,1872-04-20
801,1872-04-24
802,1872-04-25
803,1872-04-27
804,1872-04-30
805,1872-04-30
806,1872-04-30
807,1872-04-30
808,1872-05-01
809,1872-05-02
810,1872-05-03
811,1872-05-03
812,1872-05-05
813,1872-05-06
814,1872-05-06
815,1872-05-07
816,1872-05-10
817,1872-05-11
818,1872-05-11
819,1872-05-12
820,1872-05-15
821,1872-05-17
822,1872-05-20
823,1872-05-22
824,1872-05-25
825,1872-05-25
826,1872-05-31
827,1872-05-31
828,1872-06-01
829,1872-06-03
830,1872-06-05
831,1872-06-07
832,1872-06-09
833,1872-06-10
834,1872-06-10
835,1872-06-13
836,1872-06-13
837,1872-06-14
838,1872-06-18
839,1872-06-18
840,1872-06-19
841,1872-06-20
842,1872-06-21
843,1872-06-24
844,1872-06-26
845,1872-06-28
846,1872-07-01
847,1872-07-04
848,1872-07-07
849,1872-07-07
850,1872-07-07
851,1872-07-09
852,1872-07-11
853,1872-07-11
854,1872-07-12
855,1872-07-12
856,1872-07-13
857,1872-07-13
858,1872-07-14
859,1872-07-14
860,1872-07-15
861,1872-07-16
862,1872-07-20
863,1872-07-25
864,1872-07-25
865,1872-07-25
866,1872-07-28
867,1872-07-29
868,1872-08-02
869,1872-08-05
870,1872-08-07
871,1872-08-10
872,1872-08-15
873,1872-08-15
874,1872-08-16
875,1872-08-16
876,1872-08-17
877,1872-08-20
878,1872-08-20
879,1872-08-21
880,1872-08-21
881,1872-08-21
882,1872-08-27
883,1872-08-30
884,1872-08-30
885,1872-09-01
886,1872-09-01
887,1872-09-02
888,1872-09-03
889,1872-09-04
890,1872-09-05
891,1872-09-05
892,1872-09-06
893,1872-09-08
894,1872-09-09
895,1872-09-11
896,1872-09-14
897,1872-09-17
898,1872-09-19
899,1872-09-20
900,1872-09-24
901,1872-09-25
902,1872-09-25
903,1872-09-27
904,1872-09-28
905,1872-09-28
906,1872-09-29
907,1872-09-29
908,1872-09-30
909,1872-07-05
910,1872-10-01
911,1872-10-04
912,1872-10-06
913,1872-10-09
914,1872-10-09
915,1872-10-11
916,1872-10-14
917,1872-10-18
918,1872-10-19
919,1872-10-21
920,1872-10-21
921,1872-10-23
922,1872-10-26
923,1872-10-30
924,1872-10-31
925,1872-11-04
926,1872-11-06
927,1872-11-08
928,1872-11-09
929,1872-11-10
930,1872-11-10
931,1872-11-10
932,1872-11-11
933,1872-11-11
934,1872-11-12
935,1872-11-13
936,1872-11-14
937,1872-11-14
938,1872-11-14
939,1872-11-16
940,1872-11-18
941,1872-11-24
942,1872-11-26
943,1872-11-26
944,1872-11-27
945,1872-11-28
946,1872-11-29
947,1872-12-04
948,1872-12-05
949,1872-12-05
950,1872-12-07
951,1872-12-09
952,1872-12-10
953,1872-12-11
954,1872-12-12
955,1872-12-13
956,1872-12-16
957,1872-12-16
958,1872-12-16
959,1872-12-17
960,1872-12-19
961,1872-12-20
962,1872-12-20
963,1872-12-21
964,1872-12-22
965,1872-12-22
966,1872-12-23
967,1872-12-23
968,1872-12-25
969,1872-12-26
970,1872-12-27
971,1872-12-28
972,1873-01-02
973,1873-01-04
974,1873-01-04
975,1873-01-05
976,1873-01-06
977,1873-01-08
978,1873-01-09
979,1873-01-09
980,1873-01-11
981,1873-01-11
982,1873-01-13
983,1873-01-13
984,1873-01-16
985,1873-01-18
986,1873-01-18
987,1873-01-20
988,1873-01-20
989,1873-01-20
990,1873-01-21
991,1873-01-23
992,1873-01-23
993,1873-01-29
994,1873-01-29
995,1873-01-30
996,1873-01-31
997,1873-01-12
998,1873-02-01
999,1873-02-02
1000,1873-02-03
1001,1873-02-03
1002,1873-02-04
1003,1873-02-04
1004,1873-02-06
1005,1873-02-06
1006,1873-02-06
1007,1873-02-11
1008,1873-02-11
1009,1873-02-14
1010,1873-02-17
1011,1873-02-23
1012,1873-02-23
1013,1873-02-25
1014,1873-02-26
1015,1873-02-26
1016,1873-03-01
1017,1873-03-08
1018,1873-03-09
1019,1873-03-10
1020,1873-03-10
1021,1873-03-10
1022,1873-03-11
1023,1873-03-12
1024,1873-03-13
1025,1873-03-13
1026,1873-03-14
1027,1873-03-17
1028,1873-03-19
1029,1873-03-20
1030,1873-03-20
1031,1873-03-20
1032,1873-03-22
1033,1873-03-22
