pkoakwood,firstname
1179,Infant of John
1180,Infant
1181,Mexican
1182,Infant of M.
1183,Infant of H. S.
1184,Infant of T. D.
1185,Infant of Harvey
1186,Professor Thomas
1187,H.
1188,Lula E.
1189,Lucy
1190,Child & Mrs.
1191,Fanny
1192,E. F.
1193,Infant
1194,Patsy
1195,Infant
1196,Infant
1197,William C.
1198,Child of A.
1199,Robert
1200,Joseph
1201,Infant of F.
1202,Infant of E.
1203,Infant of Amanda
1204,Daughter of Joseph A.
1205,Mexican Child
1206,Mexican
1207,Philip A.
1208,N
1209,Sallie
1210,Mexican
1211,Wm. Franklin
1212,Infant
1213,N
1214,Infant
1215,Infant
1216,Infant
1217,Edward
1218,Mrs. Sarah A.
1219,Thora
1220,E. W.
1221,Infant of Mrs.
1222,Mrs. Josephine
1223,Mr.
1224,James
1225,Charlotte
1226,Gertrude
1227,N
1228,"F, P."
1229,Colored Child
1230,James
1231,Infant of Sophia
1232,U.S. Soldier
1233,Mr. E
1234,Infant of Mr.
1235,Mrs. D.
1236,William
1237,Infant of Mr.
1238,John
1239,Infant
1240,Infant of B.
1241,J. M.
1242,Alexander
1243,John
1244,Mrs. Elizabeth S.
1245,Willis
1246,Mary Catherine
1247,infant of Mary
1248,Silla
1249,Thomas
1250,N
1251,Child of Andy
1252,Infant
1253,Miss Mary
1254,Allen
1255,Infant
1256,Infant
1257,Infant
1258,N
1259,Cato
1260,Wife of S.
1261,Infant of J. R.
1262,Mrs. Melissa
1263,Child
1264,Infant
1265,Mrs. N.
1266,Infant
1267,Infant
1268,Infant
1269,Anderson
1270,J. A.
1271,J. A.
1272,Mrs. Christalla
1273,Gracy
1274,Mr.
1275,Mrs. Mary A.
1276,Miss S. M.
1277,Infant
1278,Benjamin A.
1279,Charles E.
1280,Mrs.
1281,William
1282,Man
1283,Mag. A. Frank
1284,Jesse
1285,Caroline
1286,Isaak
1287,Emmeleu
1288,John
1289,Charles
1290,W. W.
1291,Infant of A. L.
1292,Infant of John W.
1293,Infant of Jesse
1294,Charles W.
1295,G.
1296,Child
1297,Infant of Cos
1298,Wilhelmine
1299,Mrs.
1300,Ed Ten
1301,Charisse
1302,Pattie
1303,Georg
1304,James S.
1305,F.
1306,T. M.
1307,Infant of W. B.
1308,B. R.
1309,J. G.
1310,Mrs. Julia A.
1311,B.
1312,Ch
1313,Rosa
1314,Susan R.
1315,Infant of L.
1316,Hugo
1317,Ch.
1318,Susan
1319,Laura
1320,W.
1321,Marthe
1322,Peter
1323,John
1324,Dalia
1325,M.
1326,Anna L.
1327,T. (J.)
1328,S. A.
1329,C. L.
1330,W.
1331,M.
1332,Mrs. S. G.
1333,Infant of John
1334,F. M
1335,R.
1336,H.
1337,M.
1338,A.
1339,F. (J.)
1340,Augustus
1341,twins of F. O.
1342,M. R.
1343,O.
1344,Infant
1345,A.
1346,E.
1347,Infant of G.
1348,Genaro
1349,N
1350,H.
1351,T. (J.)
1352,H. B.
1353,M. A.
1354,M. F. Lotie
1355,Harry
1356,Allick
1357,W.
1358,T. (J.)
1359,L. (S.)
1360,Infant of Harry L.
1361,Twins of Mrs.
1362,Twins of Nellie
1363,L. M.
1364,D.
1365,M. Elisabeth W.
1366,Pitt.
1367,Ch.
1368,Ch.
1369,B. F.
1370,Lit
1371,Infant of M. D.
1372,C. C.
1373,W.
1374,Leno
1375,Grant
1376,J. A.
1377,Mrs.
1378,C.
1379,H.
1380,P.
1381,Infant of A.  W.
1382,M.
1383,Wilhelmina
1384,H. L.
1385,O. B.
1386,Anne E.
1387,Lena
1388,Richard
1389,H.
1390,Antonio
1391,Geromino
1392,L. G.
1393,Patrick
1394,Hugo
1395,Infant of Elippe
1396,Jenny
1397,Infant of Conwell
1398,Thomas
1399,H.
1400,Georg Washington
1401,Adam
1402,A.
1403,Henry
1404,G.
1405,Lydia Jane
1406,M.
1407,A.
1408,Infant of L.
1409,Carlos
1410,Infant of A. S.
1411,Minie
1412,Lulu
1413,K. (Ed)
1414,R.
1415,J. C.
1416,A.
1417,H. C. Olaf
1418,Infant of A. O.
1419,W.
1420,Infant of M. A.
1421,F. (J.)
1422,M. E.
1423,B.
1424,H. H.
1425,F. (J.)
1426,Infant of Joe
1427,Infant of K.
1428,Infant of C.
1429,Infant of C.
1430,E.
1431,C.
1432,children of Mr.
1433,Infant of Mr.
1434,Leonardy
1435,M.
1436,Will
1437,L.
1438,Infant of Dr.
1439,Sahra
1440,Henry
1441,F. Ch.
1442,W.
1443,Cath.
1444,Infant of C.
1445,R. E.
1446,Mrs.
1447,Child of Dr.
1448,A.
1449,G. O.
1450,E.
1451,Infant of R.
1452,G.
1453,P. E.
1454,O.P.T.
1455,L.
1456,F. W.
1457,Sarah
1458,Infant of R.
1459,Hannah
1460,Georg C. A.
1461,J. B.
1462,C. R.
1463,H. L.
1464,A.
1465,Antoniette
1466,Lize
1467,M.
1468,Infant of R.
