pkoakwood,yearsmonthsdays
1215,Blank
1216,Blank
1217,047-00-00
1218,040-00-00
1219,002-00-00
1220,027-00-00
1221,Blank
1222,065-00-00
1223,
1224,050-00-00
1225,059-00-00
1226,002-08-00
1227,056-00-00
1228,019-00-00
1229,002-00-00
1230,035-00-00
1231,Blank
1232,Blank
1233,038-00-00
1234,Blank
1235,080-00-00
1236,
1237,Blank
1238,035-00-00
1239,Blank
1240,000-00-00
1241,000-19-00
1242,022-00-00
1243,035-00-00
1244,030-00-00
1245,040-00-00
1246,020-00-00
1247,Blank
1248,017-00-00
1249,023-00-00
1250,Blank
1251,000-17-00
1252,Blank
1253,082-00-00
1254,000-11-00
1255,Blank
1256,Blank
1257,Blank
1258,Blank
1259,Blank
1260,
1261,000-00-00
1262,025-00-00
1263,000-17-00
1264,Blank
1265,025-00-00
1266,Blank
1267,Blank
1268,Blank
1269,055-00-00
1270,Blank
1271,Blank
1272,022-00-00
1273,Blank
1274,Blank
1275,061-00-00
1276,009-00-00
1277,000-00-09
1278,052-00-00
1279,013-00-00
1280,040-00-00
1281,027-00-00
1282,Blank
1283,021-05-00
1284,056-00-00
1285,048-00-05
1286,002-00-00
1287,017-06-00
1288,000-17-00
1289,027-00-00
1290,041-00-00
1291,000-00-05
1292,000-00-07
1293,000-00-01
1294,000-06-00
1295,022-00-00
1296,Blank
1297,000-00-08
1298,036-11-20
1299,024-00-00
1300,050-00-00
1301,045-00-00
1302,000-01-29
1303,027-00-00
1304,025-00-00
1305,018-11-00
1306,026-00-00
1307,Blank
1308,000-05-00
1309,045-00-00
1310,050-00-00
1311,004-00-00
1312,021-00-00
1313,021-00-00
1314,019-03-00
1315,000-00-02
1316,001-06-00
1317,048-00-00
1318,031-00-00
1319,001-08-00
1320,001-00-00
1321,052-00-00
1322,000-00-14
1323,034-00-00
1324,017-00-00
1325,008-00-00
1326,000-04-00
1327,044-00-00
1328,001-02-00
1329,000-07-00
1330,002-03-00
1331,000-02-15
1332,Blank
1333,Blank
1334,Blank
1335,022-00-00
1336,000-06-00
1337,001-02-00
1338,016-00-00
1339,001-02-00
1340,048-06-00
1341,Blank
1342,000-00-14
1343,001-00-21
1344,000-00-21
1345,001-06-25
1346,001-09-00
1347,Blank
1348,Blank
1349,013-00-00
1350,020-05-00
1351,001-01-00
1352,000-02-00
1353,023-00-00
1354,001-03-00
1355,001-09-09
1356,045-00-00
1357,000-04-00
1358,028-00-00
1359,052-00-00
1360,001-03-00
1361,Blank
1362,000-00-15
1363,001-03-00
1364,043-00-00
1365,001-03-00
1366,060-00-00
1367,075-00-00
1368,001-04-00
1369,050-00-00
1370,070-00-00
1371,Blank
1372,Blank
1373,049-00-00
1374,000-00-03
1375,044-06-00
1376,040-00-00
1377,071-00-00
1378,000-05-00
1379,000-07-00
1380,071-06-00
1381,000-00-00
1382,021-00-00
1383,010-00-00
1384,045-00-00
1385,001-00-00
1386,004-00-00
1387,027-02-00
1388,000-08-00
1389,025-00-00
1390,045-00-00
1391,020-00-00
1392,Blank
1393,Blank
1394,036-00-00
1395,Blank
1396,020-08-00
1397,Blank
1398,015-00-00
1399,Blank
1400,081-00-00
1401,036-00-00
1402,034-05-00
1403,014-00-00
1404,004-00-00
1405,002-00-00
1406,000-00-05
1407,029-00-00
1408,Blank
1409,000-02-00
1410,000-00-00
1411,000-07-00
1412,000-02-00
1413,000-03-00
1414,050-00-00
1415,001-10-00
1416,015-00-00
1417,000-04-07
1418,000-00-00
1419,001-04-00
1420,000-00-00
1421,024-00-00
1422,017-00-00
1423,035-00-00
1424,000-01-06
1425,007-00-00
1426,000-00-00
1427,000-00-00
1428,000-00-05
1429,000-00-00
1430,001-10-00
1431,000-10-17
1432,Blank
1433,000-00-00
1434,001-08-00
1435,039-00-00
1436,Blank
1437,030-00-00
1438,000-00-00
1439,011-00-00
1440,002-00-00
1441,008-00-00
1442,000-02-00
1443,047-00-00
1444,000-00-04
1445,001-09-00
1446,030-00-00
1447,Blank
1448,000-08-00
1449,Blank
1450,070-00-00
1451,Blank
1452,001-01-00
1453,000-00-02
1454,000-00-01
1455,047-00-00
1456,047-00-00
1457,031-00-00
1458,Blank
1459,Blank
1460,027-00-00
1461,037-00-00
1462,019-00-00
1463,001-00-00
1464,001-04-00
1465,026-00-00
1466,Blank
1467,002-00-00
1468,Blank
1469,027-00-00
1470,000-00-26
1471,000-00-00
1472,054-00-00
1473,043-00-00
1474,Blank
1475,000-06-01
1476,020-00-00
1477,061-00-00
1478,000-04-20
1479,000-03-00
1480,000-03-00
1481,034-00-00
1482,035-00-00
1483,000-00-06
1484,025-00-00
1485,
1486,035-00-00
1487,028-00-00
1488,000-00-10
1489,000-11-00
1490,000-00-02
1491,025-00-00
1492,Blank
1493,000-04-15
1494,000-00-00
1495,Blank
1496,Blank
1497,034-00-00
1498,046-00-00
1499,000-00-01
1500,000-02-00
1501,Blank
1502,000-06-00
1503,000-04-00
1504,000-01-00
1505,040-00-00
1506,
1507,040-00-00
1508,038-00-00
1509,000-00-03
1510,000-06-00
1511,027-00-00
1512,050-00-00
1513,033-00-00
1514,001-03-00
1515,064-00-00
1516,000-00-03
1517,Blank
1518,000-00-00
1519,Blank
1520,006-00-00
1521,000-01-14
1522,058-00-00
1523,029-06-00
1524,Blank
1525,050-00-00
1526,023-02-00
1527,000-00-07
1528,055-00-00
1529,029-00-00
1530,Blank
1531,060-00-00
1532,029-00-00
1533,079-00-00
1534,Blank
1535,075-00-00
1536,Blank
1537,001-03-00
1538,036-00-00
1539,095-00-00
1540,055-00-00
1541,000-00-00
1542,002-06-00
1543,034-00-00
1544,Blank
1545,069-00-00
1546,058-00-00
1547,Blank
1548,039-00-00
1549,000-03-00
