pkoakwood,nativity
1546,"Austin, Texas"
1547,Unknown
1549,"Austin, Texas"
1550,"Austin, Texas"
1554,"Burnet County, Texas"
1556,"Houston, Texas"
1557,"Austin, Texas"
1558,"Austin, Texas"
1559,"Austin, Texas"
1560,"Austin, Texas"
1562,"Austin, Texas"
1563,"Austin, Texas"
1564,"Austin, Texas"
1565,"Austin, Texas"
1566,"Austin, Texas"
1567,Unknown
1568,Unknown
1569,Unknown
1571,"Austin, Texas"
1572,"Austin, Texas"
1573,"Austin, Texas"
1575,Unknown
1576,"Austin, Texas"
1577,San Antonio
1578,"Austin, Texas"
1579,"Austin, Texas"
1580,"San Marcos, Texas"
1581,Unknown
1582,"Austin, Texas"
1583,"Austin, Texas"
1584,"Austin, Texas"
1585,"Travis County, Texas"
1586,"Austin, Texas"
1587,Unknown
1588,Unknown
1589,"Austin, Texas"
1591,"Austin, Texas"
1592,"Austin, Texas"
1593,"Austin, Texas"
1594,"Austin, Texas"
1595,"Austin, Texas"
1596,"Austin, Texas"
1597,"Austin, Texas"
1598,"Austin, Texas"
1599,"Austin, Texas"
1600,"Austin, Texas"
1601,"Austin, Texas"
1602,"Austin, Texas"
1603,"Austin, Texas"
1605,"Austin, Texas"
1606,Unknown
1607,Unknown
1608,"Austin, Texas"
1609,"Austin, Texas"
1611,"Austin, Texas"
1613,"Austin, Texas"
1614,"Austin, Texas"
1615,"Austin, Texas"
1617,"Travis County, Texas"
1618,"Austin, Texas"
1619,"Austin, Texas"
1620,"Austin, Texas"
1621,"Austin, Texas"
1622,"Austin, Texas"
1623,"Austin, Texas"
1624,"Yorktown, Texas"
1625,"Austin, Texas"
1626,"Austin, Texas"
1628,"Austin, Texas"
1629,West Virginia
1633,"Austin, Texas"
1634,"Austin, Texas"
1635,"Austin, Texas"
1636,"Travis County, Texas"
1637,"Travis County, Texas"
1638,"Austin, Texas"
1639,"Travis County, Texas"
1640,"San Antonio, Texas"
1641,"Travis County, Texas"
1642,"Travis County, Texas"
1643,"Austin, Texas"
1644,"Travis County, Texas"
1646,"Austin, Texas"
1647,"Austin, Texas"
1648,"Austin, Texas"
1649,"Austin, Texas"
1650,"Austin, Texas"
1651,"Austin, Texas"
1652,"Austin, Texas"
1653,"Austin, Texas"
1657,"Austin, Texas"
1658,"Austin, Texas"
1662,"Austin, Texas"
1663,"Austin, Texas"
1664,"Austin, Texas"
1665,"Austin, Texas"
1667,Unknown
1669,Unknown
1670,"Austin, Texas"
1671,"Austin, Texas"
1672,"Austin, Texas"
1673,"Austin, Texas"
1674,"Austin, Texas"
1676,"Austin, Texas"
1677,"Austin, Texas"
1680,"Austin, Texas"
1681,Unknown
1682,"Austin, Texas"
1684,Unknown
1685,"Webberville, Texas"
1686,"Austin, Texas"
1687,"Austin, Texas"
1688,Unknown
1689,"Austin, Texas"
1690,"Austin, Texas"
1691,Unknown
1694,"Austin, Texas"
1695,"Austin, Texas"
1696,"Austin, Texas"
1697,"Austin, Texas"
1698,"Austin, Texas"
1699,"Austin, Texas"
1700,"Austin, Texas"
1703,Unknown
1704,"Austin, Texas"
1705,"Austin, Texas"
1706,"Austin, Texas"
1708,"Austin, Texas"
1709,"Austin, Texas"
1710,"Austin, Texas"
1711,"Austin, Texas"
1714,"Austin, Texas"
1716,"Austin, Texas"
1717,"Travis County, Texas"
1718,Unknown
1722,"Austin, Texas"
1723,"Austin, Texas"
1724,"Austin, Texas"
1725,"Austin, Texas"
1726,Unknown
1727,"Austin, Texas"
1728,"Austin, Texas"
1734,Unknown
1735,"Austin, Texas"
1736,"Austin, Texas"
1737,"Austin, Texas"
1738,"Travis County, Texas"
1739,Unknown
1742,"Austin, Texas"
1743,Unknown
1744,Unknown
1746,"Austin, Texas"
1747,"Austin, Texas"
1748,"Austin, Texas"
1750,"Austin, Texas"
1751,"Austin, Texas"
1752,"Austin, Texas"
1753,"Austin, Texas"
1754,"Austin, Texas"
1756,Unknown
1757,"Austin, Texas"
1761,Unknown
1762,Unknown
1763,"Austin, Texas"
1764,"Austin, Texas"
1765,Unknown
1767,Unknown
1768,Unknown
1770,"Austin, Texas"
1771,"Travis County, Texas"
1772,Unknown
1773,Unknown
1774,"Austin, Texas"
1775,"Baltimore, Maryland"
1776,Unknown
1777,"Austin, Texas"
1779,"Austin, Texas"
1781,"Austin, Texas"
1782,Illinois
1783,Unknown
1784,"Austin, Texas"
1785,"Austin, Texas"
1786,Unknown
1787,"Austin, Texas"
1788,Unknown
1791,"Austin, Texas"
1792,"Austin, Texas"
1794,Unknown
1796,"Austin, Texas"
1797,Unknown
1798,Unknown
1799,"Austin, Texas"
1800,"Austin, Texas"
1801,Unknown
1802,"Austin, Texas"
1803,Unknown
1804,"Austin, Texas"
1805,"Austin, Texas"
1806,"Austin, Texas"
1808,"Austin, Texas"
1809,Unknown
1810,"Travis County, Texas"
1811,"Austin, Texas"
1812,Unknown
1813,"Austin, Texas"
1814,"Austin, Texas"
1815,"Austin, Texas"
1816,"Travis County, Texas"
1817,"Austin, Texas"
1819,"Austin, Texas"
1820,"Austin, Texas"
1821,"Austin, Texas"
1822,"Austin, Texas"
1823,"Austin, Texas"
1824,"Austin, Texas"
1825,"Austin, Texas"
1826,San Antonio
1827,"Austin, Texas"
1828,"Austin, Texas"
1829,"Austin, Texas"
1830,Unknown
1831,"Austin, Texas"
1832,"Austin, Texas"
1833,"Austin, Texas"
1834,"Austin, Texas"
1835,"Travis County, Texas"
1837,"Austin, Texas"
1838,"Austin, Texas"
1839,"Austin, Texas"
1840,Unknown
1841,"Austin, Texas"
1842,"Austin, Texas"
1843,"Austin, Texas"
1844,Unknown
1845,"Onion Creek, Travis County"
1848,"Austin, Texas"
1849,Unknown
1850,"Austin, Texas"
1851,Unknown
1852,Unknown
1854,"Austin, Texas"
1855,"Austin, Texas"
1856,"Austin, Texas"
1857,"Austin, Texas"
1858,"Austin, Texas"
1859,"Austin, Texas"
1860,Unknown
1861,Unknown
1862,"Austin, Texas"
1863,"Travis County, Texas"
1864,Unknown
1865,Unknown
1867,"Austin, Texas"
1868,Unknown
1869,"Travis County, Texas"
1870,"Austin, Texas"
1871,"Travis County, Texas"
1872,"Austin, Texas"
1873,"Austin, Texas"
1874,"Austin, Texas"
1875,"Austin, Texas"
1876,"Austin, Texas"
1877,"San Marcos, Texas"
1879,Wheatsville
1881,"Austin, Texas"
1882,Unknown
1883,"Austin, Texas"
1885,"Austin, Texas"
1888,"Austin, Texas"
1889,"Austin, Texas"
1890,"Austin, Texas"
1891,"Austin, Texas"
1892,"Austin, Texas"
1893,Unknown
1896,"Austin, Texas"
1898,"Austin, Texas"
1899,"Austin, Texas"
1900,"Austin, Texas"
1901,"Austin, Texas"
1902,"Round Rock, Texas"
1904,"Austin, Texas"
1906,"Austin, Texas"
1907,Wheatsville
1909,"Austin, Texas"
1910,"Austin, Texas"
1911,"Austin, Texas"
1912,"Williamson County, Texas"
1913,"Austin, Texas"
1915,"Austin, Texas"
1916,"Austin, Texas"
1918,"Austin, Texas"
1920,"Austin, Texas"
1921,"Austin, Texas"
1922,"Nacogdoches, Texas"
1924,Unknown
1925,"Austin, Texas"
1926,"Austin, Texas"
1927,Unknown
1928,"Austin, Texas"
1929,"Austin, Texas"
1930,"Austin, Texas"
1931,Unknown
1932,"Austin, Texas"
1933,"Travis County, Texas"
1934,"Austin, Texas"
1935,"Austin, Texas"
1936,"Austin, Texas"
1937,"Austin, Texas"
1938,"Austin, Texas"
1939,"Austin, Texas"
1940,"Austin, Texas"
1941,"Austin, Texas"
1942,"Austin, Texas"
1944,Unknown
1945,Unknown
1946,"Austin, Texas"
1947,"Austin, Texas"
1949,"Austin, Texas"
1950,Unknown
1951,"Austin, Texas"
1952,"Austin, Texas"
1953,"Austin, Texas"
1954,"Austin, Texas"
1955,"Austin, Texas"
1957,"Austin, Texas"
1958,"Austin, Texas"
1960,"Austin, Texas"
1961,"Austin, Texas"
1962,"Ellis County, Texas"
1963,"Austin, Texas"
1964,"Austin, Texas"
1965,"Austin, Texas"
1967,"Austin, Texas"
1968,"Austin, Texas"
1969,"Austin, Texas"
1970,"Austin, Texas"
1971,"Austin, Texas"
1973,"Austin, Texas"
1974,Unknown
1976,"Austin, Texas"
1977,"Austin, Texas"
1978,"Travis County, Texas"
1979,"Austin, Texas"
1981,"Travis County, Texas"
1982,Unknown
1983,"Austin, Texas"
1984,"Austin, Texas"
1985,"Austin, Texas"
1986,Unknown
1988,Unknown
1989,"Austin, Texas"
1990,"Austin, Texas"
1991,Unknown
1992,"Austin, Texas"
1994,"Austin, Texas"
1995,"Williamson County, Texas"
1996,Unknown
1997,"Travis County, Texas"
