pkoakwood,whereburied
909,"Historic ""Colored Grounds"" 31"
910,"Historic ""Colored Grounds"" 52"
911,old grave yard
912,new grave yard
913,"Historic ""Colored Grounds"" 53"
914,
915,Strangers Grounds
916,new cemetery
917,new cemetery
918,
919,new cemetery
920,new cemetery
921,"Historic ""Colored Grounds"" 54"
922,"Historic ""Colored Grounds"" 55"
923,"Historic ""Colored Grounds"" 56"
924,"Historic ""Colored Grounds"" 57"
925,new cemetery
926,"new cemetery, A. Eanes lot"
927,"new cemetery, A. Eanes lot"
928,new cemetery
929,"new cemetery, A. Eanes lot"
930,"new cemetery, A. Eanes lot"
931,"Historic ""Colored Grounds"" 58"
932,new cemetery
933,new cemetery
934,"Historic ""Colored Grounds"" 59"
935,"Historic ""Colored Grounds"" 59"
936,
937,old grave yard
938,strangers grounds
939,
940,"Historic ""Colored Grounds"" 62"
941,"Historic ""Colored Grounds"" 63"
942,
943,State Cemetery
944,"Historic ""Colored Grounds"" 64"
945,new cemetery
946,"strangers ground, A. Eanes lot"
947,"new cemetery, A. Eanes lot 37"
948,
949,"Historic ""Colored Grounds"" 65"
950,Strangers Grounds
951,new cemetery SW qt lot No 381
952,
953,old cemetery
954,"Historic ""Colored Grounds"" 67"
955,new grave yard
956,old grave yard
957,new cemetery S.E. qt lot No 381
958,"new cemetery, A. Eanes lot"
959,"Historic ""Colored Grounds"" 68"
960,"new cemetery, A. Eanes lot"
961,"new cemetery, A. Eanes lot"
962,old cemetery
963,"Historic ""Colored Grounds"" 69"
964,"Historic ""Colored Grounds"" 70"
965,"Historic ""Colored Grounds"" 71"
966,new cemetery
967,new cemetery
968,"new cemetery, A. Eanes lot 371"
969,"new cemetery, A. Eanes lot 371"
970,
971,
972,"Historic ""Colored Grounds"" 1"
973,A. Eanes lot No 37
974,"Historic ""Colored Grounds"" 2"
975,new cemetery
976,
977,new cemetery
978,"new cemetery, A. Eanes lot"
979,Strangers Grounds
980,
981,new cemetery
982,"Historic ""Colored Grounds"" 4"
983,new cemetery
984,"new cemetery, A. Eanes lot 371"
985,"Historic ""Colored Grounds"" 5"
986,strangers grounds
987,strangers grounds
988,"Historic ""Colored Grounds"" 67"
989,"Historic ""Colored Grounds"" 7"
990,strangers grounds
991,new cemetery
992,"Historic ""Colored Grounds"" 8"
993,"Historic ""Colored Grounds"" 9"
994,new cemetery
995,new cemetery single grave 371
996,new cemetery
997,new cemetery
998,new cemetery
999,strangers grounds
1000,"Historic ""Colored Grounds"" 10"
1001,new cemetery
1002,new cemetery
1003,new cemetery lot 371
1004,new cemetery family lot
1005,old cemetery
1006,"Historic ""Colored Grounds"" 11"
1007,new cemetery
1008,"Historic ""Colored Grounds"" 12"
1009,
1010,strangers grounds
1011,new cemetery
1012,new cemetery
1013,new cemetery
1014,new cemetery
1015,new cemetery family lot
1016,pauper grounds
1017,"Historic ""Colored Grounds"" 14"
1018,"new cemetery, A. Eanes lot"
1019,new cemetery E 1/2 block No 392
1020,"new cemetery, A. Eanes lot"
1021,new cemetery
1022,new cemetery
1023,"new cemetery, A. Eanes lot No 5"
1024,old cemetery
1025,cemetery grounds lot  No 392
1026,new cemetery on family lot
1027,"Historic ""Colored Grounds"" 15"
1028,new cemetery
1029,new cemetery
1030,new cemetery
1031,old cemetery
1032,new grave yard
1033,"Historic ""Colored Grounds"" 17"
1034,"Historic ""Colored Grounds"" 1"
1035,"new cemetery, SW qt of lot No 371"
1036,"Historic ""Colored Grounds"" 18"
1037,new cemetery
1038,new cemetery
1039,"Historic ""Colored Grounds"" 18"
1040,"Historic ""Colored Grounds"" 19"
1041,strangers grounds
1042,new cemetery
1043,"Historic ""Colored Grounds"" 20"
1044,strangers cemetery 21
1045,"new cemetery, single grave lot No 370"
1046,
1047,new cemetery
1048,old cemetery
1049,new cemetery
1050,"Historic ""Colored Grounds"" 22"
1051,"new cemetery, A. Eanes lot No.371"
1052,new cemetery
1053,new cemetery
1054,"new cemetery, 1/2 lot Mitchell"
1055,new cemetery 1/2 lot
1056,"Historic ""Colored Grounds"" 23"
1057,strangers grounds
1058,strangers grounds
1059,strangers grounds
1060,strangers grounds
1061,
1062,
1063,
1064,"new cemetery, single grave, A. Eanes lot"
1065,new grave yard
1066,new grave yard
1067,new grave yard
1068,old cemetery
1069,
1070,"Historic ""Colored Grounds"" 24"
1071,old grave yard
1072,new cemetery on her father's lot
1073,"Historic ""Colored Grounds"" 25"
1074,strangers grounds
1075,"Historic ""Colored Grounds"" 26"
1076,
1077,
1078,"new cemetery, block No 371"
1079,old grave yard
1080,Mexican grounds
1081,Mexican grounds
1082,Mexican grounds
1083,Mexican grounds
1084,"Historic ""Colored Grounds"" 28"
1085,"Historic ""Colored Grounds"" 29"
1086,new cemetery
1087,"Historic ""Colored Grounds"" 30"
1088,"new cemetery, on A. Eanes lot"
1089,State Asylum lot
1090,"Historic ""Colored Grounds"" 31"
1091,new grave yard
1092,"Historic ""Colored Grounds"" 32"
1093,Mexican grounds
1094,"Historic ""Colored Grounds"" 33"
1095,"Historic ""Colored Grounds"" single grave No 71"
1096,old cemetery in family lot
1097,new grave yard
1098,"Historic ""Colored Grounds"" 35"
1099,new cemetery on A. Eanes lot
1100,
1101,"Historic ""Colored Grounds"" 36"
1102,new cemetery in family lot
1103,
1104,
1105,
1106,old grave yard in family lot
1107,"Historic ""Colored Grounds"""
1108,"Historic ""Colored Grounds"" 39"
1109,new cemetery
1110,"new cemetery, family lot"
1111,
1112,
1113,
1114,new grave yard in family lot
1115,
1116,new grave yard
1117,new grave yard on A. Eanes lot
1118,"Historic ""Colored Grounds"" 41"
1119,old grave yard on family lot
1120,old grave yard on family lot
